timestamp,topic,payload_raw,pose_x,pose_y,pose_z,pose_roll,pose_pitch,pose_yaw,j1,j2,j3,j4,j5,j6,linear,angular,gripper_value,event
2026-05-24T09:33:11.042,robot/gripper,g 0.85,,,,,,,,,0.85,gripper_cmd
2026-05-24T09:33:11.043,robot/gripper,g 0.85,,,,,,,,,0.85,gripper_cmd
2026-05-24T09:33:11.344,robot/gripper,g 0.85,,,,,,,,,0.85,gripper_cmd
2026-05-24T09:33:11.652,robot/gripper,g 0.85,,,,,,,,,0.85,gripper_cmd
2026-05-24T09:33:11.653,robot/gripper,g 0.83,,,,,,,,,0.83,gripper_cmd
2026-05-24T09:33:11.655,robot/gripper,g 0.83,,,,,,,,,0.83,gripper_cmd
2026-05-24T09:33:11.959,robot/gripper,g 0.83,,,,,,,,,0.83,gripper_cmd
2026-05-24T09:33:11.961,robot/gripper,g 0.8,,,,,,,,,0.8,gripper_cmd
2026-05-24T09:33:11.963,robot/gripper,g 0.8,,,,,,,,,0.8,gripper_cmd
2026-05-24T09:33:11.965,robot/gripper,g 0.8,,,,,,,,,0.8,gripper_cmd
2026-05-24T09:33:12.589,robot/gripper,g 0.8,,,,,,,,,0.8,gripper_cmd
2026-05-24T09:33:12.591,robot/gripper,g 0.74,,,,,,,,,0.74,gripper_cmd
2026-05-24T09:33:12.593,robot/gripper,g 0.14,,,,,,,,,0.14,gripper_cmd
2026-05-24T09:33:12.594,robot/gripper,g 0.61,,,,,,,,,0.61,gripper_cmd
2026-05-24T09:33:12.861,robot/gripper,g 0.99,,,,,,,,,0.99,gripper_cmd
2026-05-24T09:33:12.862,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:12.864,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.003,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.005,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.071,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.227,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.229,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.332,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.335,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.733,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
2026-05-24T09:33:13.735,robot/gripper,g 1,,,,,,,,,1.0,gripper_cmd
